	property	expected_types_raw	counts
119	identifier	['PropertyValue', 'Text', 'URL']	28
265	url	['URL']	28
182	name	['Text']	27
67	description	['Text']	26
223	sameAs	['URL']	18
12	alternateName	['Text']	17
120	image	['ImageObject', 'URL']	15
61	dateModified	['Date', 'DateTime']	11
60	dateCreated	['Date', 'DateTime']	11
161	license	['CreativeWork', 'URL']	10
38	citation	['CreativeWork', 'Text']	10
155	keywords	['DefinedTerm', 'Text', 'URL']	9
1	about	['Thing']	8
132	isBasedOn	['CreativeWork', 'Product', 'URL']	8
156	keywords	['Text']	8
8	additionalType	['URL']	8
63	datePublished	['Date']	7
26	author	['Organization', 'Person']	7
123	inLanguage	['Language', 'Text']	7
22	associatedDisease	['MedicalCondition', 'PropertyValue', 'URL']	6
141	isInvolvedInBiologicalProcess	['DefinedTerm', 'PropertyValue', 'URL']	6
105	hasMolecularFunction	['DefinedTerm', 'PropertyValue', 'URL']	6
142	isLocatedInSubcellularLocation	['DefinedTerm', 'PropertyValue', 'URL']	6
170	mainEntityOfPage	['CreativeWork', 'URL']	6
6	additionalProperty	['PropertyValue']	6
48	contributor	['Organization', 'Person']	5
101	hasBioChemEntityPart	['BioChemEntity']	5
112	hasRepresentation	['PropertyValue', 'Text', 'URL']	5
150	isPartOfBioChemEntity	['BioChemEntity']	5
28	bioChemInteraction	['BioChemEntity']	5
29	bioChemSimilarity	['BioChemEntity']	5
55	creator	['Organization', 'Person']	5
107	hasPart	['CreativeWork']	5
131	isAccessibleForFree	['Boolean']	5
68	disambiguatingDescription	['Text']	4
77	editor	['Person']	4
95	funder	['Organization', 'Person']	4
212	provider	['Organization', 'Person']	4
214	publisher	['Organization', 'Person']	4
255	taxonomicRange	['DefinedTerm', 'Taxon', 'Text', 'URL']	4
269	version	['Number', 'Text']	4
146	isPartOf	['CreativeWork', 'URL']	4
83	encodingFormat	['Text', 'URL']	3
238	startDate	['Date', 'DateTime']	3
84	endDate	['Date', 'DateTime']	3
206	programmingLanguage	['ComputerLanguage', 'Text']	3
192	pageEnd	['Integer', 'Text']	3
2	abstract	['Text']	3
194	pagination	['Text']	3
193	pageStart	['Integer', 'Text']	3
32	biologicalRole	['DefinedTerm']	3
259	thumbnailUrl	['URL']	3
111	hasRepresentation	['PropertyValue orText orURL']	2
178	mentions	['Thing']	2
172	maintainer	['Organization', 'Person']	2
73	downloadUrl	['URL']	2
230	socialMedia	['URL']	2
173	maximumAttendeeCapacity	['Integer']	2
176	memberOf	['Organization', 'ProgramMembership']	2
79	educationalLevel	['DefinedTerm', 'Text', 'URL']	2
140	isEncodedByBioChemEntity	['Gene']	2
147	isPartOf	['CreativeWork']	2
82	encodesBioChemEntity	['BioChemEntity']	2
201	potentialUse	['DefinedTerm']	2
139	isEncodedByBioChemEntity	['DNA', 'Gene', 'RNA']	2
185	operatingSystem	['Text']	2
216	rdf:type	['URL']	2
71	distribution	['DataDownload']	2
116	headline	['Text']	2
231	softwareAddOn	['SoftwareApplication']	2
137	isContainedIn	['BioChemEntity orURL']	2
232	softwareHelp	['CreativeWork']	2
54	creativeWorkStatus	['DefinedTerm', 'Text']	2
4	accessibilitySummary	['Text']	2
20	applicationSuite	['Text']	2
260	timeRequired	['Duration']	2
23	attachment	['URL']	2
24	audience	['Audience']	2
257	teaches	['DefinedTerm', 'Text']	2
253	taxonRank	['PropertyValue', 'Text', 'URL']	2
36	chemicalRole	['DefinedTerm']	2
39	codeRepository	['URL']	2
250	superEvent	['Event']	2
69	discussionUrl	['URL']	2
42	commentCount	['Integer']	2
246	subEvent	['Event']	2
47	contains	['BioChemEntity', 'URL']	2
165	location	['Place', 'PostalAddress', 'Text']	2
235	softwareVersion	['Text']	2
221	review	['Review']	1
258	text	['Text']	1
261	topic	['Text', 'URL']	1
183	offers	['Demand', 'Offer']	1
234	softwareUsed	['SoftwareApplication', 'URL']	1
229	smiles	['Text']	1
228	serviceOutput	['MediaObject']	1
184	offers	['Offer']	1
227	seeAlso	['Thing', 'URL']	1
262	topic	['URL']	1
186	orcid	['Text', 'URL']	1
187	organizer	['Organization', 'Person']	1
188	output	['FormalParameter']	1
256	taxonomicRange	['Taxon', 'Text', 'URL']	1
254	taxonomicRange	['CategoryCode', 'Taxon', 'Text', 'URL']	1
189	outputData	['URL']	1
190	outputFormat	['URL']	1
181	monoisotopicMolecularWeight	['QuantitativeValue', 'Text']	1
263	totalTime	['Duration']	1
220	relatedStudy	['Study']	1
174	measurementTechnique	['Text', 'URL']	1
168	mainEntity	['DefinedTerm']	1
169	mainEntity	['Thing']	1
273	works	['CreativeWork']	1
233	softwareRequirements	['Text', 'URL']	1
171	mainEntityOfPage	['DataRecord orURL']	1
272	workTranslation	['CreativeWork']	1
271	workFeatured	['CreativeWork']	1
270	volumeNumber	['Integer', 'Text']	1
180	molecularWeight	['QuantitativeValue', 'Text']	1
268	variableMeasured	['PropertyValue', 'Text']	1
175	member	['Organization', 'Person']	1
267	valueRequired	['Boolean']	1
177	membershipCategory	['Offer']	1
266	valueReference	['DefinedTerm']	1
264	type	['Text', 'URL']	1
179	molecularFormula	['Text']	1
191	owns	['OwnershipInfo', 'Product']	1
236	sourceOrganization	['Organization']	1
226	sdPublisher	['Organization', 'Person']	1
243	studyLocation	['AdministrativeArea', 'Place']	1
245	studySubject	['BioChemEntity', 'MedicalEntity']	1
207	protocolAdvantage	['CreativeWork', 'Text']	1
208	protocolApplication	['CreativeWork', 'Text']	1
209	protocolLimitation	['CreativeWork', 'Text']	1
244	studyProcess	['PropertyValue', 'Text', 'URL']	1
210	protocolOutcome	['CreativeWork', 'Text']	1
211	protocolPurpose	['CreativeWork', 'Text']	1
213	provider	['Organization']	1
252	targetProduct	['SoftwareApplication']	1
242	studyDomain	['PropertyValue', 'Text', 'URL']	1
241	structureDeterminationMethod	['Text', 'URL']	1
215	publishingPrinciples	['CreativeWork', 'URL']	1
222	runtimePlatform	['Text']	1
217	reagentUsed	['BioChemEntity', 'MolecularEntity', 'ChemicalSubstance', 'DefinedTerm', 'Text', 'URL']	1
218	recordedAt	['Event']	1
219	registrationStatus	['Text']	1
240	step	['CreativeWork', 'HowToSection', 'HowToStep', 'Text']	1
224	samplingAge	['Integer']	1
205	programme	['Text', 'URL']	1
204	producer	['Organization', 'Person']	1
195	parentOrganization	['Organization']	1
225	scientificName	['TaxonName']	1
196	parentTaxon	['Taxon', 'Text', 'URL']	1
197	performTime	['Duration']	1
251	supportedRefs	['Text']	1
237	sponsor	['Organization', 'Person']	1
167	logo	['ImageObject', 'URL']	1
199	position	['Integer', 'Text']	1
239	status	['Text']	1
200	potentialAction	['Action']	1
249	submitter	['Organization', 'Person']	1
202	prepTime	['Duration']	1
248	subjectOf	['CreativeWork', 'Event']	1
247	subOrganization	['Organization']	1
203	prerequisite	['Text']	1
198	performer	['Organization', 'Person']	1
0	PPEO:hasGrowthChamber	['URL']	1
166	locationCreated	['Place']	1
64	deadline	['Text', 'URL']	1
46	contactPoint	['ContactPoint']	1
49	correction	['CorrectionComment', 'Text', 'URL']	1
50	courseCode	['Text']	1
51	courseMode	['Text', 'URL']	1
52	coursePrerequisites	['AlignmentObject', 'Course', 'Text']	1
53	creationMethod	['PropertyValue']	1
56	curriculumVitae	['Text', 'URL']	1
57	custodian	['Organization', 'Person']	1
58	dataset	['DataCatalog']	1
59	dataset	['Dataset']	1
62	datePublished	['Date', 'DateTime']	1
65	defaultValue	['Text', 'Thing']	1
164	location	['Place', 'PostalAddress', 'Text', 'VirtualLocation']	1
66	department	['Organization']	1
70	dissolutionDate	['Date']	1
72	documentation	['CreativeWork', 'URL']	1
74	duration	['Duration']	1
75	dwc:vernacularName	['Text']	1
76	edam:has_input	['MediaObject']	1
78	educationalCredentialAwarded	['EducationalOccupationalCredential', 'Text', 'URL']	1
80	eligibility	['Text']	1
81	email	['ContactPoint', 'Organization', 'Place']	1
85	eventStatus	['EventStatusType']	1
86	eventType	['EventType']	1
45	contact	['Organization', 'Person']	1
44	conditionsOfAccess	['Text']	1
43	competencyRequired	['DefinedTerm', 'Text', 'URL']	1
41	comment	['Comment']	1
3	acceptanceNotificationDate	['Date']	1
5	accreditation	['Organization', 'Text']	1
7	additionalType	['Text']	1
9	advisor	['Person']	1
10	aggregateRating	['AggregateRating']	1
11	aggregator	['Boolean']	1
13	alternateScientificName	['TaxonName']	1
14	alternativeOf	['Gene']	1
15	anatomicalLocation	['DefinedTerm']	1
16	applicationCategory	['Text', 'URL']	1
17	applicationCategory	['Text']	1
18	applicationSubCategory	['Text', 'URL']	1
19	applicationSubCategory	['Text']	1
21	articleBody	['Text']	1
25	audience	['URL']	1
27	bioChemAssociation	['BioChemEntity']	1
30	bioSampleUsed	['BioChemEntity', 'BioSample', 'DefinedTerm', 'Text', 'URL', 'Taxon']	1
31	biogicalRole	['DefinedTerm']	1
33	boundMolecule	['Text', 'URL']	1
34	budget	['PriceSpecification']	1
35	chemicalComposition	['Text']	1
37	childTaxon	['Taxon', 'Text', 'URL']	1
40	collector	['Organization', 'Person']	1
87	experience	['Text']	1
88	expertise	['URL']	1
89	expressedIn	['AnatomicalStructure', 'AnatomicalSystem', 'BioChemEntity', 'DefinedTerm']	1
126	inputData	['URL']	1
128	instructor	['Person']	1
129	interest	['Text', 'URL']	1
130	internatonalActivities	['Text']	1
133	isBasedOn	['CreativeWork', 'URL']	1
134	isBasedOn	['CreativeWork']	1
135	isBasisFor	['CreativeWork', 'Product', 'URL']	1
136	isCodingRNA	['Boolean']	1
138	isControl	['Boolean']	1
143	isMatchedBy	['SequenceMatchingModel']	1
144	isPartOf	['CreativeWork', 'Trip', 'Journal', 'PublicationVolume', 'PublicationIssue']	1
145	isPartOf	['CreativeWork', 'URL', 'Periodical', 'PublicationVolume', 'PublicationIssue']	1
148	isPartOf	['Journal']	1
149	isPartOf	['PublicationVolume', 'Journal']	1
151	issueNumber	['Integer', 'Text']	1
152	itemLocation	['Place', 'PostalAddress', 'Text']	1
153	iupacName	['Text']	1
154	journalReferee	['CreativeWork']	1
157	knowsLanguage	['Language']	1
158	labEquipmentUsed	['DefinedTerm', 'Text', 'URL']	1
159	learningResourceType	['DefinedTerm', 'Text']	1
160	legalName	['Text']	1
162	location	['Place orPostalAddress orPropertyValue orText orURL']	1
163	location	['Place', 'PostalAddress', 'PropertyValue', 'Text', 'URL']	1
127	inputFormat	['URL']	1
125	input	['FormalParameter']	1
90	expressionSystem	['BioChemEntity', 'Taxon']	1
124	includedInDataCatalog	['DataCatalog']	1
91	featureList	['Text', 'URL']	1
92	featureList	['URL']	1
93	founderMember	['Organization', 'Person']	1
94	foundingDate	['Date']	1
96	funding	['Grant']	1
97	funding	['Text']	1
98	fundingModel	['Text']	1
99	gender	['GenderType', 'Text']	1
100	hasBioChemEntityPart	['BioChemEntity', 'URL']	1
102	hasBioPolymerSequence	['Text']	1
103	hasCategoryCode	['CategoryCode']	1
104	hasCourseInstance	['CourseInstance']	1
106	hasPart	['CreativeWork', 'Trip']	1
108	hasPart	['PublicationIssue', 'PublicationVolume', 'ScholarlyArticle']	1
109	hasPart	['PublicationIssue', 'ScholarlyArticle']	1
110	hasPart	['ScholarlyArticle']	1
113	hasSequence	['Text']	1
114	hasSequenceAnnotation	['PropertyValue', 'SequenceAnnotation']	1
115	hasStatus	['Text']	1
117	homeLocation	['ContactPoint', 'Place']	1
118	hostInstitution	['Organization']	1
121	inChI	['Text']	1
122	inChIKey	['Text']	1
274	worksFor	['Organization']	1
