	specification	property	expected_type	marginality	expected_types_raw
1	Beacon	dataset	['DataCatalog']	Minimum	['DataCatalog']
4	Beacon	name	['Text']	Minimum	['Text']
5	Beacon	potentialAction	['Action']	Minimum	['Action']
6	Beacon	provider	['Organization', 'Person']	Minimum	['Organization', 'Person']
7	Beacon	rdf:type	['URL']	Minimum	['URL']
9	Beacon	supportedRefs	['Text']	Minimum	['Text']
10	Beacon	url	['URL']	Minimum	['URL']
20	BioSample	description	['Text']	Minimum	['Text']
25	BioSample	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
34	BioSample	name	['Text']	Minimum	['Text']
38	BioSample	url	['URL']	Minimum	['URL']
48	ChemicalSubstance	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
50	ChemicalSubstance	name	['Text']	Minimum	['Text']
53	ChemicalSubstance	url	['URL']	Minimum	['URL']
62	ComputationalTool	description	['Text']	Minimum	['Text']
75	ComputationalTool	name	['Text']	Minimum	['Text']
84	ComputationalTool	url	['URL']	Minimum	['URL']
90	ComputationalWorkflow	creator	['Organization', 'Person']	Minimum	['Organization', 'Person']
91	ComputationalWorkflow	dateCreated	['Date', 'DateTime']	Minimum	['Date', 'DateTime']
101	ComputationalWorkflow	input	['FormalParameter']	Minimum	['FormalParameter']
104	ComputationalWorkflow	license	['CreativeWork', 'URL']	Minimum	['CreativeWork', 'URL']
106	ComputationalWorkflow	name	['Text']	Minimum	['Text']
107	ComputationalWorkflow	output	['FormalParameter']	Minimum	['FormalParameter']
109	ComputationalWorkflow	programmingLanguage	['ComputerLanguage', 'Text']	Minimum	['ComputerLanguage', 'Text']
112	ComputationalWorkflow	sdPublisher	['Organization', 'Person']	Minimum	['Organization', 'Person']
115	ComputationalWorkflow	url	['URL']	Minimum	['URL']
116	ComputationalWorkflow	version	['Number', 'Text']	Minimum	['Number', 'Text']
131	Course	description	['Text']	Minimum	['Text']
138	Course	keywords	['DefinedTerm', 'Text', 'URL']	Minimum	['DefinedTerm', 'Text', 'URL']
141	Course	name	['Text']	Minimum	['Text']
149	CourseInstance	courseMode	['Text', 'URL']	Minimum	['Text', 'URL']
158	CourseInstance	location	['Place', 'PostalAddress', 'Text', 'VirtualLocation']	Minimum	['Place', 'PostalAddress', 'Text', 'VirtualLocation']
174	DataCatalog	description	['Text']	Minimum	['Text']
177	DataCatalog	keywords	['Text']	Minimum	['Text']
179	DataCatalog	name	['Text']	Minimum	['Text']
180	DataCatalog	provider	['Organization', 'Person']	Minimum	['Organization', 'Person']
182	DataCatalog	url	['URL']	Minimum	['URL']
190	DataRecord	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
195	DataRecord	mainEntity	['Thing']	Minimum	['Thing']
205	Dataset	description	['Text']	Minimum	['Text']
208	Dataset	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
213	Dataset	keywords	['DefinedTerm', 'Text', 'URL']	Minimum	['DefinedTerm', 'Text', 'URL']
214	Dataset	license	['CreativeWork', 'URL']	Minimum	['CreativeWork', 'URL']
217	Dataset	name	['Text']	Minimum	['Text']
220	Dataset	url	['URL']	Minimum	['URL']
228	Event	contact	['Organization', 'Person']	Minimum	['Organization', 'Person']
231	Event	description	['Text']	Minimum	['Text']
233	Event	endDate	['Date', 'DateTime']	Minimum	['Date', 'DateTime']
234	Event	eventType	['EventType']	Minimum	['EventType']
235	Event	hostInstitution	['Organization']	Minimum	['Organization']
238	Event	location	['Place', 'PostalAddress', 'Text']	Minimum	['Place', 'PostalAddress', 'Text']
240	Event	name	['Text']	Minimum	['Text']
249	Event	startDate	['Date', 'DateTime']	Minimum	['Date', 'DateTime']
260	FormalParameter	name	['Text']	Minimum	['Text']
273	Gene	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
279	Gene	name	['Text']	Minimum	['Text']
287	Journal	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
292	Journal	name	['Text']	Minimum	['Text']
298	LabProtocol	bioSampleUsed	['BioChemEntity', 'BioSample', 'DefinedTerm', 'Text', 'URL', 'Taxon']	Minimum	['BioChemEntity', 'BioSample', 'DefinedTerm', 'Text', 'URL', 'Taxon']
304	LabProtocol	headline	['Text']	Minimum	['Text']
308	LabProtocol	keywords	['DefinedTerm', 'Text', 'URL']	Minimum	['DefinedTerm', 'Text', 'URL']
309	LabProtocol	labEquipmentUsed	['DefinedTerm', 'Text', 'URL']	Minimum	['DefinedTerm', 'Text', 'URL']
317	LabProtocol	protocolPurpose	['CreativeWork', 'Text']	Minimum	['CreativeWork', 'Text']
318	LabProtocol	reagentUsed	['BioChemEntity', 'MolecularEntity', 'ChemicalSubstance', 'DefinedTerm', 'Text', 'URL']	Minimum	['BioChemEntity', 'MolecularEntity', 'ChemicalSubstance', 'DefinedTerm', 'Text', 'URL']
333	MolecularEntity	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
345	MolecularEntity	name	['Text']	Minimum	['Text']
350	MolecularEntity	url	['URL']	Minimum	['URL']
