	specification	property	expected_type	marginality
1	Beacon	dataset	['DataCatalog']	Minimum
4	Beacon	name	['Text']	Minimum
5	Beacon	potentialAction	['Action']	Minimum
6	Beacon	provider	['Organization', 'Person']	Minimum
7	Beacon	rdf:type	['URL']	Minimum
9	Beacon	supportedRefs	['Text']	Minimum
10	Beacon	url	['URL']	Minimum
20	BioSample	description	['Text']	Minimum
25	BioSample	identifier	['PropertyValue', 'Text', 'URL']	Minimum
34	BioSample	name	['Text']	Minimum
38	BioSample	url	['URL']	Minimum
48	ChemicalSubstance	identifier	['PropertyValue', 'Text', 'URL']	Minimum
50	ChemicalSubstance	name	['Text']	Minimum
53	ChemicalSubstance	url	['URL']	Minimum
62	ComputationalTool	description	['Text']	Minimum
75	ComputationalTool	name	['Text']	Minimum
84	ComputationalTool	url	['URL']	Minimum
90	ComputationalWorkflow	creator	['Organization', 'Person']	Minimum
91	ComputationalWorkflow	dateCreated	['Date', 'DateTime']	Minimum
101	ComputationalWorkflow	input	['FormalParameter']	Minimum
104	ComputationalWorkflow	license	['CreativeWork', 'URL']	Minimum
106	ComputationalWorkflow	name	['Text']	Minimum
107	ComputationalWorkflow	output	['FormalParameter']	Minimum
109	ComputationalWorkflow	programmingLanguage	['ComputerLanguage', 'Text']	Minimum
112	ComputationalWorkflow	sdPublisher	['Organization', 'Person']	Minimum
115	ComputationalWorkflow	url	['URL']	Minimum
116	ComputationalWorkflow	version	['Number', 'Text']	Minimum
131	Course	description	['Text']	Minimum
138	Course	keywords	['DefinedTerm', 'Text', 'URL']	Minimum
141	Course	name	['Text']	Minimum
149	CourseInstance	courseMode	['Text', 'URL']	Minimum
158	CourseInstance	location	['Place', 'PostalAddress', 'Text', 'VirtualLocation']	Minimum
174	DataCatalog	description	['Text']	Minimum
177	DataCatalog	keywords	['Text']	Minimum
179	DataCatalog	name	['Text']	Minimum
180	DataCatalog	provider	['Organization', 'Person']	Minimum
182	DataCatalog	url	['URL']	Minimum
190	DataRecord	identifier	['PropertyValue', 'Text', 'URL']	Minimum
195	DataRecord	mainEntity	['Thing']	Minimum
205	Dataset	description	['Text']	Minimum
208	Dataset	identifier	['PropertyValue', 'Text', 'URL']	Minimum
213	Dataset	keywords	['DefinedTerm', 'Text', 'URL']	Minimum
214	Dataset	license	['CreativeWork', 'URL']	Minimum
217	Dataset	name	['Text']	Minimum
220	Dataset	url	['URL']	Minimum
228	Event	contact	['Organization', 'Person']	Minimum
231	Event	description	['Text']	Minimum
233	Event	endDate	['Date', 'DateTime']	Minimum
234	Event	eventType	['EventType']	Minimum
235	Event	hostInstitution	['Organization']	Minimum
238	Event	location	['Place', 'PostalAddress', 'Text']	Minimum
240	Event	name	['Text']	Minimum
249	Event	startDate	['Date', 'DateTime']	Minimum
260	FormalParameter	name	['Text']	Minimum
273	Gene	identifier	['PropertyValue', 'Text', 'URL']	Minimum
279	Gene	name	['Text']	Minimum
287	Journal	identifier	['PropertyValue', 'Text', 'URL']	Minimum
292	Journal	name	['Text']	Minimum
298	LabProtocol	bioSampleUsed	['BioChemEntity', 'BioSample', 'DefinedTerm', 'Text', 'URL', 'Taxon']	Minimum
304	LabProtocol	headline	['Text']	Minimum
308	LabProtocol	keywords	['DefinedTerm', 'Text', 'URL']	Minimum
309	LabProtocol	labEquipmentUsed	['DefinedTerm', 'Text', 'URL']	Minimum
317	LabProtocol	protocolPurpose	['CreativeWork', 'Text']	Minimum
